name,category,service_kind,profession_type,address,suburb,state,postcode,latitude,longitude,phone,website,source,description,highlighted
Finley Community Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Finley Hospital,24 Dawe Avenue, Finley, NSW, 2713",Finley,NSW,2713,-35.64175034,145.56813049,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Finley Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Finley Hospital,24 Dawe Avenue, Finley, NSW, 2713",Finley,NSW,2713,-35.64175034,145.56813049,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Healthone Corowa Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Corowa District Hospital,53 81 Guy Street, Corowa, NSW, 2646",Corowa,NSW,2646,-35.9929924,146.38304138,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Hermon Speech Pathology,Intervention,Education,Speech Pathologist,"Confidential Address, Padbury, WA, 6025",Padbury,WA,6025,-31.8108902,115.76921844,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Hillston Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"48C Burns Street, Hillston, NSW, 2675",Hillston,NSW,2675,-33.4791069,145.53855896,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Holistic Speech Pathology,Intervention,Education,Speech Pathologist,"366A High Street, Fremantle, WA, 6160",Fremantle,WA,6160,-32.05008316,115.77565765,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Inner West Speech Pathology,Intervention,Education,Speech Pathologist,"71 Clarence Street, Belfield, NSW, 2191",Belfield,NSW,2191,-33.9053688,151.08631897,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Isisford PHC - Occupational Therapy,Intervention,Education,Occupational Therapist,"St Helena Street, Isisford, QLD, 4731",Isisford,QLD,4731,-24.26159668,144.44033813,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Isisford PHC - Speech Pathology / Therapy,Intervention,Education,Speech Pathologist,"St Helena Street, Isisford, QLD, 4731",Isisford,QLD,4731,-24.26159668,144.44033813,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Jane Le Blanc Speech Pathology,Intervention,Education,Speech Pathologist,"11 KIDMAN STREET, Yarraville, VIC, 3013",Yarraville,VIC,3013,-37.81288143,144.86773217,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Jiang Tan Speech Pathologist,Intervention,Education,Speech Pathologist,"Unit 4,3 Mary Street, North Melbourne, VIC, 3051",North Melbourne,VIC,3051,-37.79973221,144.95219421,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
John Saunders Speech Pathologist,Intervention,Education,Speech Pathologist,"Unit 2 ,554A HIGH STREET, Prahran, VIC, 3181",Prahran,VIC,3181,-37.85392728,145.00671063,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Johnstone Speech Pathology,Intervention,Education,Speech Pathologist,"1341 DANDENONG ROAD, Malvern East, VIC, 3145",Malvern East,VIC,3145,-37.88641324,145.08242865,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Karumba - Speech Pathology,Intervention,Education,Speech Pathologist,"156 164 Walker Street, Karumba, QLD, 4891",Karumba,QLD,4891,-17.48610115,140.84281921,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Kids Space Occupational Therapy,Intervention,Education,Occupational Therapist,"Confidential Address, Scullin, ACT, 2614",Scullin,ACT,2614,-35.23472214,149.03833008,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Leeton Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Leeton District Hospital,114 124 Wade Avenue, Leeton, NSW, 2705",Leeton,NSW,2705,-34.54970551,146.40763855,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Lockhart Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Lockhart And District Hospital,55A Hebden Street, Lockhart, NSW, 2656",Lockhart,NSW,2656,-35.22240829,146.71961975,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Melissa Bailey Speech Pathology,Intervention,Education,Speech Pathologist,"Confidential Address, Merewether, NSW, 2291",Merewether,NSW,2291,-32.94277954,151.75250244,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mercy Care Young Health Service Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"Mercy Care Centre,69 Demondrille Street, Young, NSW, 2594",Young,NSW,2594,-34.32119751,148.2888031,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mercy Care Young Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Mercy Care Centre,69 Demondrille Street, Young, NSW, 2594",Young,NSW,2594,-34.32119751,148.2888031,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mercy Health Service Albury Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Mercy Hospital,550 Poole Street, Albury, NSW, 2640",Albury,NSW,2640,-36.06928253,146.91662598,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mercy Health Service Albury Speech Pathology Service,Intervention,Education,Speech Pathologist,"Mercy Hospital,550 Poole Street, Albury, NSW, 2640",Albury,NSW,2640,-36.06928253,146.91662598,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mitchell Hospital - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"Mitchell Hospital,95 Ann Street, Mitchell, QLD, 4465",Mitchell,QLD,4465,-26.49039459,147.97218323,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Monto Health Service - Occupational Therapy,Intervention,Education,Occupational Therapist,"35 Flinders Street, Monto, QLD, 4630",Monto,QLD,4630,-24.86628151,151.11273193,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Morven Community Clinic - Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"Warrego Highway, Morven, QLD, 4468",Morven,QLD,4468,-26.4074192,147.13844299,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Morven Community Clinic - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"Warrego Highway, Morven, QLD, 4468",Morven,QLD,4468,-26.4074192,147.13844299,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Mrs Rhonwen Benn - Occupational Therapist,Intervention,Education,Occupational Therapist,"Confidential Address, Ferntree Gully, VIC, 3156",Ferntree Gully,VIC,3156,-37.88357544,145.29545593,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Muttaburra Primary Health Centre - Occupational Therapy,Intervention,Education,Occupational Therapist,"Edkins Street, Muttaburra, QLD, 4732",Muttaburra,QLD,4732,-22.59567642,144.5458374,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Muttaburra Primary Health Centre - Speech Pathology / Therapy,Intervention,Education,Speech Pathologist,"Edkins Street, Muttaburra, QLD, 4732",Muttaburra,QLD,4732,-22.59567642,144.5458374,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Narrandera Community Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Narrandera Hospital,54 64 Adams Street, Narrandera, NSW, 2700",Narrandera,NSW,2700,-34.74315262,146.54737854,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Occupational Therapy Mackay,Intervention,Education,Occupational Therapist,"37 BRISBANE STREET, Mackay, QLD, 4740",Mackay,QLD,4740,-21.1447693,149.18829181,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
"Padhye, Vik - Occupational Therapist",Intervention,Education,Occupational Therapist,"35 Hackney Road, Hackney, SA, 5069",Hackney,SA,5069,-34.91692352,138.61491394,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Point Cook Speech Pathology,Intervention,Education,Speech Pathologist,"Confidential Address, Point Cook, VIC, 3030",Point Cook,VIC,3030,-37.90934753,144.75138855,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Quilpie Hospital - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"Hospital,30 Gyrica Street, Quilpie, QLD, 4480",Quilpie,QLD,4480,-26.61819267,144.27270508,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Rpa - Speech Pathology Unit,Intervention,Education,Speech Pathologist,"Missenden Road, Camperdown, NSW, 2050",Camperdown,NSW,2050,-33.88840103,151.18130493,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Sally-Ann E. Gordon Speech Pathologist,Intervention,Education,Speech Pathologist,"18 Rawson Penfold Drive, Rosslyn Park, SA, 5072",Rosslyn Park,SA,5072,-34.91970825,138.68041992,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Samantha Malpass Speech Pathologist,Intervention,Education,Speech Pathologist,"11 Iron Way, West Wodonga, VIC, 3690",West Wodonga,VIC,3690,-36.11825943,146.84675598,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Sandra Kevill Occupational Therapist,Intervention,Education,Occupational Therapist,"53 Avon Terrace, York, WA, 6302",York,WA,6302,-31.8943882,116.76816559,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Sophia Tsobanis - Speech Pathologist,Intervention,Education,Speech Pathologist,"Confidential Address, Sunshine West, VIC, 3020",Sunshine West,VIC,3020,-37.79465103,144.80769348,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Susan Tsang Speech Pathology,Intervention,Education,Speech Pathologist,"86 Oxford Street, Epping, NSW, 2121",Epping,NSW,2121,-33.76654816,151.08665466,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Tambo Primary Health Centre - Occupational Therapy,Intervention,Education,Occupational Therapist,"Hospital & Residence,8 Garden Street, Tambo, QLD, 4478",Tambo,QLD,4478,-24.88169479,146.24879456,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Tammy Phelps - Speech Pathology,Intervention,Education,Speech Pathologist,"The Rupsey Centre,38 Blake Street, Nathalia, VIC, 3638",Nathalia,VIC,3638,-36.05866623,145.20323181,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Thargomindah Community Clinic - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"88 Dowling Street, Thargomindah, QLD, 4492",Thargomindah,QLD,4492,-27.99536705,143.81658936,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
To The Point Speech Pathology,Intervention,Education,Speech Pathologist,"39 George Crescent, Sandy Point, NSW, 2172",Sandy Point,NSW,2172,-33.97497177,150.99403381,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Townsville Speech Pathology Service,Intervention,Education,Speech Pathologist,"Suite 5,42 Ross River Road, Mundingburra, QLD, 4812",Mundingburra,QLD,4812,-19.29418373,146.79211426,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Tumut Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"105 107 Simpson Street, Tumut, NSW, 2720",Tumut,NSW,2720,-35.30631638,148.21942139,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Tumut Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"105 107 Simpson Street, Tumut, NSW, 2720",Tumut,NSW,2720,-35.30631638,148.21942139,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Wagga Wagga Community Health Service Speech Pathology A & EC Service,Intervention,Education,Speech Pathologist,"Wagga Wagga Base Hospital,260 Edward Street, Wagga Wagga, NSW, 2650",Wagga Wagga,NSW,2650,-35.11856079,147.35699463,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Wagga Wagga Community Health Service Speech Pathology Service,Intervention,Education,Speech Pathologist,"Wagga Wagga Base Hospital,260 Edward Street, Wagga Wagga, NSW, 2650",Wagga Wagga,NSW,2650,-35.11856079,147.35699463,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Warnbro Sound Speech Pathology,Intervention,Education,Speech Pathologist,"Confidential Address, Warnbro, WA, 6169",Warnbro,WA,6169,-32.32688522,115.7587204,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Windorah Primary Health Centre - Occupational Therapy Clinic,Intervention,Education,Occupational Therapist,"15 Victoria Street, Windorah, QLD, 4481",Windorah,QLD,4481,-25.42034531,142.65472412,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Windorah Primary Health Centre - Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"15 Victoria Street, Windorah, QLD, 4481",Windorah,QLD,4481,-25.42034531,142.65472412,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Wyalong Health Service Occupational Therapy Service,Intervention,Education,Occupational Therapist,"Wyalong Hospital,70 Ungarie Road, West Wyalong, NSW, 2671",West Wyalong,NSW,2671,-33.91643906,147.19682312,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Young Health Service Speech Pathology Clinic,Intervention,Education,Speech Pathologist,"Young District Hospital,68 Allanan Street, Young, NSW, 2594",Young,NSW,2594,-34.32058716,148.28811646,To be added,To be added,Healthdirect NHSD Services Directory 2025,Intervention support identified from Healthdirect NHSD Services Directory 2025.,No
Auspeld,Support Groups,Community,Dyslexia Support Organisation,"Po Box 409, South Perth, WA, 6951",South Perth,WA,6951,-31.9809661,115.8639433,To be added,https://www.auspeld.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Australian Dyslexia Foundation,Support Groups,Community,Dyslexia Support Organisation,To be added,To be added,To be added,To be added,To be added,To be added,To be added,To be added,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,No
Code Read Dyslexia Network Australia Limited,Support Groups,Community,Dyslexia Support Organisation,"Po Box 366, Rockingham, WA, 6968",Rockingham,WA,6968,-32.3350126,115.8059955,To be added,https://codereadnetwork.org,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,No
Learning Difficulties Australia Inc,Support Groups,Community,Learning Difficulties Association,"PO Box 76, Mount Waverley, VIC, 3149",Mount Waverley,VIC,3149,-37.8752637,145.1281258,To be added,https://www.ldaustralia.org,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,No
Learning Difficulties Coalition Of New South Wales Inc,Support Groups,Community,Learning Difficulties Association,"Unit 21/7 Anella Avenue, Castle Hill, NSW, 2154",Castle Hill,NSW,2154,-33.7317524,151.0069279,To be added,https://www.ldc.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,No
Speld Foundation Of South Australia,Support Groups,Community,Dyslexia Support Organisation,"U 2 259 Glen Osmond Rd, Frewville, SA, 5063",Frewville,SA,5063,-34.9479853,138.6311935,To be added,http://www.speldsa.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Speld NSW Inc,Support Groups,Community,Dyslexia Support Organisation,"Suite 2, Level 1, Parramatta, NSW, 2150",Parramatta,NSW,2150,-33.8139843,151.0026660,To be added,http://www.speldnsw.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Speld Qld Inc.,Support Groups,Community,Dyslexia Support Organisation,"141 Merton Rd, Woolloongabba, QLD, 4102",Woolloongabba,QLD,4102,-27.4853896,153.0364488,To be added,https://www.speld.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Speld Sa Inc,Support Groups,Community,Dyslexia Support Organisation,"U 2 259 Glen Osmond Rd, Frewville, SA, 5063",Frewville,SA,5063,-34.9479853,138.6311935,To be added,http://www.speldsa.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Speld-Victoria Inc,Support Groups,Community,Dyslexia Support Organisation,"Unit 2, Level 1, Mt. Alexander Road, Essendon, VIC, 3040",Essendon,VIC,3040,-37.7498293,144.9109062,To be added,https://www.speldvic.org.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
Square Pegs Dyslexia Support and Advocacy Inc,Support Groups,Community,Dyslexia Support Organisation,"2 Hargrave Pl, Mount Nelson, TAS, 7007",Mount Nelson,TAS,7007,-42.9247160,147.3263248,To be added,https://www.squarepegstas.org,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,No
The Dyslexia Speld Foundation Wa Inc,Support Groups,Community,Dyslexia Support Organisation,"10 Broome St, South Perth, WA, 6151",South Perth,WA,6151,-31.9809661,115.8639433,To be added,https://www.dsf.net.au,ACNC Registered Charities extract (data.gov.au),Community support organisation identified from the ACNC charity register extract.,Yes
